Ref,Project name,Country,Date online,Decomission date,Status,Technology,Technology_details,Technology_electricity,Technology_electricity_details,Product,EndUse_Refining,EndUse_Ammonia,EndUse_Methanol,EndUse_Iron&Steel,EndUse_Other Ind,EndUse_Mobility,EndUse_Power,EndUse_Grid inj.,EndUse_CHP,EndUse_Domestic heat,EndUse_Biofuels,EndUse_Synfuels,EndUse_CH4 grid inj.,EndUse_CH4 mobility,Announced Size,Capacity_MWel,Capacity_Nm³ H₂/h,Capacity_kt H2/y,IEA zero-carbon estimated normalized capacity [Nm³ H₂/hour],Location
1124,Sinopec - Kuqa,CHN,2023.0,,Operational,ALK,,Dedicated renewable,Solar PV,H2,1.0,,,,,,,,,,,,,,260MW,260.0,56522.0,44.1,56522.0,Kuqa
1126,GreenHyScale,DNK,2026.0,,Feasibility study,ALK,,Other/Unknown,,H2,,,,,1.0,1.0,,,,,,,,,100MW,100.0,21739.0,16.9,21739.0,Skive
1127,EI-H2 - Aghada (phase 1),IRL,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,H2,1.0,,,,1.0,1.0,,,,,,,,,50MW,50.0,11111.0,8.7,11111.0,Aghada
1128,Green lab skive (Phase II),DNK,2027.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,MeOH,,,1.0,,,,,,,,,,,,24MW,18.0,4000.0,3.1,4000.0,Skive
1130,"HySynergy, phase 3",DNK,2030.0,,Feasibility study,ALK,,Dedicated renewable,Unknown,H2,1.0,,,,,1.0,,,,,,,,,1000W,700.0,152174.0,118.6,152174.0,Fredericia refinery
1134,Kapuni Green Hydrogen Project - Taranaki,NZL,2026.0,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,1.0,,,,1.0,,,,,,,,,2t H2/d,4.2,936.0,0.7,936.0,Taranaki
1137,Horizon H2 capture tailings CCS (ALB),CAN,2017.0,,Operational,NG w CCUS,SMR+CCUS,,,H2,1.0,,,,,,,,,,,,,,438000t CO2/y,,,,54915.0,"Horizon Oil Sands, Alberta"
1140,Forestal del Atlántico - Triskelion,ESP,2027.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,MeOH,,,,,,,,,,,,1.0,,,40 kt MeOH/y production,88.345,19632.0,15.3,19632.0,Forestal del Atlántico
1141,SoHyCal,USA,2023.0,,Operational,PEM,,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,7.5MW,7.5,1442.0,1.1,1442.0,"Fresno, CA"
1143,Industrial Cachimayo,PER,1965.0,,Operational,ALK,,Dedicated renewable,Hydropower,Ammonia,,1.0,,,,,,,,,,,,,25MW or 50t NH3/d,25.0,5435.0,4.2,5435.0,Industrial Cachimayo
1145,Sirea - Castres site,FRA,2021.0,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,0.43MW,0.43,96.0,0.1,96.0,"Castres, Tarn, Occitanie, France"
1147,Hy4Chem - BASF Ludwigshafen,DEU,2025.0,,Operational,PEM,,Dedicated renewable,Unknown,H2,,,,,1.0,1.0,,,,,,,,,54MW,54.0,10385.0,8.1,10385.0,Ludwigshafen
